atom_id,x_gt,y_gt
0,22.376709391550598,25.902489406547023
1,38.3767093915506,25.902489406547023
2,54.3767093915506,25.902489406547023
3,70.3767093915506,25.902489406547023
4,86.3767093915506,25.902489406547023
5,102.3767093915506,25.902489406547023
6,118.3767093915506,25.902489406547023
7,134.3767093915506,25.902489406547023
8,150.3767093915506,25.902489406547023
9,166.3767093915506,25.902489406547023
10,182.3767093915506,25.902489406547023
11,198.3767093915506,25.902489406547023
12,214.3767093915506,25.902489406547023
13,230.3767093915506,25.902489406547023
14,22.376709391550598,41.902489406547026
15,38.3767093915506,41.902489406547026
16,54.3767093915506,41.902489406547026
17,70.3767093915506,41.902489406547026
18,86.3767093915506,41.902489406547026
19,102.3767093915506,41.902489406547026
20,118.3767093915506,41.902489406547026
21,134.3767093915506,41.902489406547026
22,150.3767093915506,41.902489406547026
23,166.3767093915506,41.902489406547026
24,182.3767093915506,41.902489406547026
25,198.3767093915506,41.902489406547026
26,214.3767093915506,41.902489406547026
27,230.3767093915506,41.902489406547026
28,22.376709391550598,57.902489406547026
29,38.3767093915506,57.902489406547026
30,54.3767093915506,57.902489406547026
31,70.3767093915506,57.902489406547026
32,86.3767093915506,57.902489406547026
33,102.3767093915506,57.902489406547026
34,118.3767093915506,57.902489406547026
35,134.3767093915506,57.902489406547026
36,150.3767093915506,57.902489406547026
37,166.3767093915506,57.902489406547026
38,182.3767093915506,57.902489406547026
39,198.3767093915506,57.902489406547026
40,214.3767093915506,57.902489406547026
41,230.3767093915506,57.902489406547026
42,22.376709391550598,73.90248940654702
43,38.3767093915506,73.90248940654702
44,54.3767093915506,73.90248940654702
45,70.3767093915506,73.90248940654702
46,86.3767093915506,73.90248940654702
47,102.3767093915506,73.90248940654702
48,118.3767093915506,73.90248940654702
49,134.3767093915506,73.90248940654702
50,150.3767093915506,73.90248940654702
51,166.3767093915506,73.90248940654702
52,182.3767093915506,73.90248940654702
53,198.3767093915506,73.90248940654702
54,214.3767093915506,73.90248940654702
55,230.3767093915506,73.90248940654702
56,22.376709391550598,89.90248940654702
57,38.3767093915506,89.90248940654702
58,54.3767093915506,89.90248940654702
59,70.3767093915506,89.90248940654702
60,86.3767093915506,89.90248940654702
61,102.3767093915506,89.90248940654702
62,118.3767093915506,89.90248940654702
63,134.3767093915506,89.90248940654702
64,150.3767093915506,89.90248940654702
65,166.3767093915506,89.90248940654702
66,182.3767093915506,89.90248940654702
67,198.3767093915506,89.90248940654702
