image_id,degradation_type,param_value,n_gt,n_pred,n_matched,detection_rate,false_positive,bias_x,bias_y,sigma_x,sigma_y,mean_dx,mean_dy,mean_abs_error,median_error
img_000_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.3631682571722375,0.780977555993823,0.04942045344634971,0.12810380180817188,-0.3631682571722375,0.780977555993823,0.8643341322861924,0.8693394125450675
img_001_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.6775207802262992,0.8440344818905198,0.030121246955680716,0.15171673113795317,-0.6775207802262992,0.8440344818905198,1.0868156126658197,1.0679111242960395
img_002_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.6175755876531055,0.8312473588358155,0.03370421121484975,0.07374177115110127,-0.6175755876531055,0.8312473588358155,1.0369581362258014,1.0540582846658573
img_003_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.2845275842620824,0.4802440831732989,0.01938085875453864,0.14990189964517095,-0.2845275842620824,0.4802440831732989,0.5656553336335327,0.5525569940992878
img_004_poisson_P1000,poisson,1000,196,196,196,1.0,0,0.25198447342533237,0.9473956191079013,0.03731093497766082,0.043492595590292796,0.25198447342533237,0.9473956191079013,0.980906289341703,0.9777510445642849
img_005_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.6925984785305986,0.9462457152447707,0.03633073948578661,0.1170780176899869,-0.6925984785305986,0.9462457152447707,1.1754282224460282,1.155846271208739
img_006_poisson_P1000,poisson,1000,196,196,196,1.0,0,0.18618790083432113,0.3228895348456891,0.020727991127824228,0.15757706723722817,0.18618790083432113,0.3228895348456891,0.39135204038813237,0.37728800008562563
img_007_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.0069920467031179675,0.7854629175767598,0.019719745860281784,0.06977518269995285,-0.0069920467031179675,0.7854629175767598,0.7857357270944442,0.8413777545380442
img_008_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.44677902481147436,0.4827802383506102,0.050367737901209374,0.06904890092535823,-0.44677902481147436,0.4827802383506102,0.6609022487561758,0.681249070318847
img_009_poisson_P1000,poisson,1000,196,196,196,1.0,0,-0.5513591488907081,1.099000937602073,0.01844171448477189,0.15218298508137604,-0.5513591488907081,1.099000937602073,1.2316212190954108,1.222415553182887
img_000_poisson_P500,poisson,500,196,196,196,1.0,0,-0.3521106083110358,0.8837913489999059,0.06228969552900955,0.1457791495341429,-0.3521106083110358,0.8837913489999059,0.9537923463368458,1.048903082325272
img_001_poisson_P500,poisson,500,196,196,196,1.0,0,-0.6768174913919688,0.8549418523575038,0.021973581085415347,0.15731577147878262,-0.6768174913919688,0.8549418523575038,1.0951233702065202,1.1794090836742643
img_002_poisson_P500,poisson,500,196,196,196,1.0,0,-0.6190058214007398,0.8269630511277698,0.037746127536736916,0.09954406713326644,-0.6190058214007398,0.8269630511277698,1.0360067408638587,1.0540582846658573
img_003_poisson_P500,poisson,500,196,196,196,1.0,0,-0.2893766154671824,0.5006198719030089,0.03850410771635394,0.1537768501365025,-0.2893766154671824,0.5006198719030089,0.5855638991014515,0.6735645518639357
img_004_poisson_P500,poisson,500,196,196,196,1.0,0,0.2582182086601407,0.9525569454292706,0.045037123928627104,0.05031142242136243,0.2582182086601407,0.9525569454292706,0.9876672192460693,0.9777510445642849
img_005_poisson_P500,poisson,500,196,196,196,1.0,0,-0.68044586059119,0.9618269728104533,0.0442144104397086,0.11593855306177364,-0.68044586059119,0.9618269728104533,1.1811891225901605,1.155846271208739
img_006_poisson_P500,poisson,500,196,196,196,1.0,0,0.18042403228849796,0.34805971911898886,0.027081066270620017,0.1578467234223622,0.18042403228849796,0.34805971911898886,0.4095661147887687,0.4910217939731316
img_007_poisson_P500,poisson,500,196,196,196,1.0,0,-0.008201490380337415,0.7952744361691589,0.021452300815481284,0.0659064412304826,-0.008201490380337415,0.7952744361691589,0.7955875265247764,0.8413777545380446
img_008_poisson_P500,poisson,500,196,196,196,1.0,0,-0.4341084336768664,0.5042847765978994,0.06227884792744923,0.07428290095039734,-0.4341084336768664,0.5042847765978994,0.6702552551100232,0.6812490703188472
img_009_poisson_P500,poisson,500,196,196,196,1.0,0,-0.5508736471028436,1.1169763608540817,0.024710557625446664,0.15887092829160257,-0.5508736471028436,1.1169763608540817,1.2476554278292642,1.3456428062655004
img_000_poisson_P200,poisson,200,196,196,196,1.0,0,-0.3831055353317446,0.9240369459855657,0.09597651670067073,0.14470537311656054,-0.3831055353317446,0.9240369459855657,1.0040333482579047,1.0528994523849775
img_001_poisson_P200,poisson,200,196,196,196,1.0,0,-0.6857171369188981,0.905169810936697,0.05180196336014039,0.12266408781958557,-0.6857171369188981,0.905169810936697,1.138088986643672,1.1794090836742699
img_002_poisson_P200,poisson,200,196,196,196,1.0,0,-0.6209857829000348,0.8470612441985734,0.05872000860924048,0.0742324366416267,-0.6209857829000348,0.8470612441985734,1.0528187171049912,1.0540582846658573
img_003_poisson_P200,poisson,200,196,196,196,1.0,0,-0.29371486136020913,0.5346326054995227,0.04959022133245821,0.14078967900704825,-0.29371486136020913,0.5346326054995227,0.6164392615333163,0.6735645518639423
img_004_poisson_P200,poisson,200,196,196,196,1.0,0,0.2720782297704296,0.9749357123837636,0.06252761249895333,0.06432814856779336,0.2720782297704296,0.9749357123837636,1.0131364016763538,0.9777510445642875
img_005_poisson_P200,poisson,200,196,196,196,1.0,0,-0.6634730404765851,1.0010007033644184,0.050728427901107695,0.12412286267600751,-0.6634730404765851,1.0010007033644184,1.2049062728074125,1.2678186780057599
img_006_poisson_P200,poisson,200,196,196,196,1.0,0,0.1726589679579105,0.40003456579039787,0.051339512225476995,0.1297227045905859,0.1726589679579105,0.40003456579039787,0.4488836579380816,0.4910217939731383
img_007_poisson_P200,poisson,200,196,196,196,1.0,0,-0.020650768337132818,0.8120097267766293,0.049395301864103784,0.06202394613196461,-0.020650768337132818,0.8120097267766293,0.8136099943100434,0.8413777545380446
img_008_poisson_P200,poisson,200,196,196,196,1.0,0,-0.41220687628927316,0.5547140734020621,0.0959112295038421,0.09261958301718236,-0.41220687628927316,0.5547140734020621,0.7013709986572383,0.6812490703188548
img_009_poisson_P200,poisson,200,196,196,196,1.0,0,-0.566607574531187,1.1756776711799892,0.06396564124771702,0.1263276046697951,-0.566607574531187,1.1756776711799892,1.3070076699271214,1.3456428062655064
img_000_poisson_P100,poisson,100,196,196,196,1.0,0,-0.3885534663838663,0.94572275063324,0.10428315262572206,0.12801045977319195,-0.3885534663838663,0.94572275063324,1.025670509544448,1.0528994523849782
